Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,50MA,200MA,EMA12,EMA26,MACD,Signal,Histogram,RSI,20MA,20STD,Upper Band,Lower Band,H-L,H-PC,L-PC,TR,ATR,OBV,%K,%D
2024-04-26 00:00:00-04:00,169.081624768213,170.53475474394267,168.38490238817732,168.5043487548828,44838400,0.0,0.0,,,,168.5043487548828,168.5043487548828,0.0,0.0,0.0,,,,,,2.149852355765347,,,2.149852355765347,,0,,
2024-04-29 00:00:00-04:00,172.555222179483,175.20272483761752,172.28650201133235,172.6846160888672,68169400,0.0,0.0,0.024808067951203272,,,169.14746680626502,168.8139981870298,0.3334686192352194,0.06669372384704389,0.26677489538817556,,,,,,2.9162228262851784,6.698376082734711,3.782153256449533,6.698376082734711,,68169400,,
2024-04-30 00:00:00-04:00,172.51541154910535,174.1676137755898,169.20105955998108,169.52951049804688,65934800,0.0,0.0,-0.018270912964225117,,,169.20624275884683,168.866999098957,0.3392436598898314,0.1212037110556014,0.21803994883423,,,,,,4.966554215608738,1.4829976867226264,3.483556528886112,4.966554215608738,,2234600,,
2024-05-01 00:00:00-04:00,168.78303163206596,171.89832652202932,168.31523926242042,168.5043487548828,50383100,0.0,0.0,-0.006047099057576055,,,169.09825906592928,168.84013611050705,0.2581229554222375,0.14858755992892864,0.10953539549330887,,,,,,3.5830872596089023,2.368816023982447,1.2142712356264553,3.5830872596089023,,-48148500,,
2024-05-02 00:00:00-04:00,171.69925171807526,172.60497864880503,170.08687006909776,172.21681213378906,94214900,0.0,0.0,0.022031855001597878,,,169.57803646098463,169.09026026037978,0.4877762006048556,0.21642528806411404,0.27135091254074156,,,,,,2.518108579707274,4.100629893922218,1.5825213142149437,4.100629893922218,,46066400,,
2024-05-03 00:00:00-04:00,185.7727942523785,186.12115543095717,181.80155578938326,182.51817321777344,163224100,0.0,0.0,0.05981623371347511,,,171.56882673125983,170.08492047944597,1.4839062518138633,0.4699214808140639,1.0139847709997993,,,,,,4.319599641573916,13.904343297168111,9.584743655594195,13.904343297168111,,209290500,,
2024-05-06 00:00:00-04:00,181.4930249418685,183.3343214775735,179.5720873686165,180.8560333251953,78569700,0.0,0.0,-0.009106709010258007,,,172.99762774571144,170.8827806902422,2.1148470554692267,0.7989065957450965,1.3159404597241302,,,,,,3.7622341089569886,0.8161482598000589,2.9460858491569297,3.7622341089569886,,130720800,,
2024-05-07 00:00:00-04:00,182.58785409480518,184.0310366275269,180.46787458450643,181.54278564453125,77305800,0.0,0.0,0.0037972320121668623,,,174.31226742245295,171.6724106868562,2.6398567355967373,1.1670966237154248,1.4727601118813125,,,,,,3.563162043020469,3.1750033023315893,0.3881587406888798,3.563162043020469,,208026600,,
2024-05-08 00:00:00-04:00,181.9906634485607,182.20963072654146,180.5972339353124,181.8811798095703,45057100,0.0,0.0,0.0018639912560427518,,,175.47671548200947,172.42861580705724,3.0480996749522262,1.5432972339627853,1.504802440989441,,,,,,1.6123967912290595,0.6668450820102123,0.9455517092188472,1.6123967912290595,,253083700,,
2024-05-09 00:00:00-04:00,181.70204263297254,183.792179594264,181.2541604804327,183.70260620117188,48983000,0.0,0.0,0.01001437528340543,,,176.74223713111138,173.2637262066213,3.478510924490081,1.9303399720682446,1.5481709524218363,,,,,,2.538019113831325,1.9109997846937006,0.6270193291376245,2.538019113831325,,302066700,,
2024-05-10 00:00:00-04:00,184.28063783698332,184.47000383075684,181.51992740382525,182.4368438720703,50759500,0.25,0.0,-0.006890279649682474,,,177.6183304758743,173.94321640406196,3.675114071812345,2.279294792017065,1.3958192797952802,,,,,,2.950076426931588,0.7673976295849627,2.1826787973466253,2.950076426931588,,251307200,,
2024-05-13 00:00:00-04:00,184.81883849593646,186.47328168344126,184.00157793065927,185.65602111816406,72044800,0.0,0.0,0.017645433771870778,,,178.8548982669958,174.81083156806952,4.044066698926287,2.6322491733989093,1.4118175255273773,,,,,,2.471703752781991,4.036437811370945,1.5647340585889538,4.036437811370945,,323352000,,
2024-05-14 00:00:00-04:00,186.8819036535792,187.66926595480425,185.6659889969534,186.8021697998047,52393600,0.0,0.0,0.006173506653528671,,,180.07755542588947,175.69907884449435,4.37847658139512,2.9814946549981514,1.3969819263969683,,,,,,2.003276957850858,2.013244836640183,0.009967878789325368,2.013244836640183,,375745600,,
2024-05-15 00:00:00-04:00,187.28058361009533,190.01139602124525,186.7423838683229,189.0845184326172,70400000,0.0,0.0,0.012217998512857209,,,181.46324204230913,176.690592888059,4.772649154250132,3.3397255548485476,1.4329235994015845,79.57217605147113,,,,,3.2690121529223575,3.2092262214405594,0.059785931481798116,3.2690121529223575,4.2248161706936385,446145600,95.72791808737713,
